variable,category,precision,recall,fbeta
all,all,0.7313432835820896,0.6144200626959248,0.6678023850085179
workclass, Private,0.7305882352941176,0.6112204724409449,0.6655948553054664
workclass, Local-gov,0.6601941747572816,0.6476190476190476,0.6538461538461539
workclass, ?,0.625,0.375,0.46875
workclass, Federal-gov,0.6714285714285714,0.6811594202898551,0.6762589928057554
workclass, Self-emp-not-inc,0.7105263157894737,0.5547945205479452,0.6230769230769231
workclass, Self-emp-inc,0.8145161290322581,0.753731343283582,0.7829457364341086
workclass, State-gov,0.8545454545454545,0.5529411764705883,0.6714285714285715
workclass, Without-pay,1.0,1.0,1.0
workclass, Never-worked,1.0,1.0,1.0
education, Some-college,0.6550218340611353,0.5263157894736842,0.5836575875486382
education, Bachelors,0.7270642201834863,0.7107623318385651,0.7188208616780045
education, Assoc-acdm,0.6458333333333334,0.5535714285714286,0.5961538461538463
education, 5th-6th,1.0,0.0,0.0
education, 11th,0.875,0.4117647058823529,0.56
education, HS-grad,0.6268656716417911,0.3829787234042553,0.4754716981132076
education, Assoc-voc,0.8,0.4878048780487805,0.6060606060606061
education, Masters,0.8070175438596491,0.8023255813953488,0.8046647230320699
education, Doctorate,0.8295454545454546,0.948051948051948,0.8848484848484849
education, Prof-school,0.9375,0.9278350515463918,0.9326424870466321
education, 10th,0.5,0.14285714285714285,0.22222222222222224
education, 7th-8th,0.6666666666666666,0.5,0.5714285714285715
education, 1st-4th,1.0,0.0,0.0
education, 9th,0.6666666666666666,0.3333333333333333,0.4444444444444444
education, 12th,1.0,0.3333333333333333,0.5
education, Preschool,0.0,1.0,0.0
marital-status, Divorced,0.7142857142857143,0.39603960396039606,0.5095541401273885
marital-status, Never-married,0.9387755102040817,0.42201834862385323,0.5822784810126582
marital-status, Married-civ-spouse,0.7233523189585028,0.6580310880829016,0.6891472868217055
marital-status, Separated,1.0,0.375,0.5454545454545454
marital-status, Married-spouse-absent,1.0,0.0,0.0
marital-status, Widowed,0.6666666666666666,0.1111111111111111,0.1904761904761905
marital-status, Married-AF-spouse,1.0,0.0,0.0
occupation, Adm-clerical,0.64,0.46601941747572817,0.5393258426966293
occupation, Prof-specialty,0.7952755905511811,0.7518610421836228,0.7729591836734694
occupation, Sales,0.7231638418079096,0.6564102564102564,0.6881720430107527
occupation, Transport-moving,0.6666666666666666,0.4444444444444444,0.5333333333333333
occupation, Other-service,0.7142857142857143,0.14705882352941177,0.24390243902439024
occupation, Exec-managerial,0.7927170868347339,0.7546666666666667,0.773224043715847
occupation, ?,0.625,0.375,0.46875
occupation, Protective-serv,0.6097560975609756,0.5813953488372093,0.5952380952380952
occupation, Craft-repair,0.6124031007751938,0.42021276595744683,0.49842271293375395
occupation, Machine-op-inspct,0.48148148148148145,0.24528301886792453,0.325
occupation, Farming-fishing,0.6923076923076923,0.45,0.5454545454545455
occupation, Handlers-cleaners,0.5,0.17647058823529413,0.2608695652173913
occupation, Tech-support,0.6721311475409836,0.6721311475409836,0.6721311475409836
occupation, Priv-house-serv,1.0,1.0,1.0
occupation, Armed-Forces,1.0,1.0,1.0
relationship, Unmarried,0.75,0.2608695652173913,0.3870967741935483
relationship, Not-in-family,0.8260869565217391,0.40425531914893614,0.5428571428571428
relationship, Husband,0.7250698974836906,0.6626916524701874,0.6924788607031598
relationship, Own-child,1.0,0.2857142857142857,0.4444444444444445
relationship, Other-relative,0.0,0.0,0.0
relationship, Wife,0.7142857142857143,0.650887573964497,0.6811145510835913
race, White,0.7432098765432099,0.6193415637860082,0.675645342312009
race, Amer-Indian-Eskimo,0.6666666666666666,0.4,0.5
race, Black,0.6190476190476191,0.527027027027027,0.5693430656934306
race, Asian-Pac-Islander,0.6122448979591837,0.625,0.6185567010309279
race, Other,0.5714285714285714,0.8,0.6666666666666666
sex, Female,0.7329842931937173,0.5243445692883895,0.611353711790393
sex, Male,0.7310704960835509,0.6325301204819277,0.6782398062171983
native-country, United-States,0.7352206494587843,0.6114958448753463,0.6676748582230624
native-country, ?,0.75,0.6666666666666666,0.7058823529411765
native-country, India,0.7,0.7,0.7
native-country, Mexico,0.6,0.42857142857142855,0.5
native-country, El-Salvador,1.0,1.0,1.0
native-country, England,0.6666666666666666,0.36363636363636365,0.4705882352941177
native-country, France,1.0,1.0,1.0
native-country, Germany,0.8333333333333334,0.625,0.7142857142857143
native-country, Peru,1.0,1.0,1.0
native-country, Philippines,0.5384615384615384,0.6363636363636364,0.5833333333333334
native-country, South,0.25,0.5,0.3333333333333333
native-country, Cuba,0.8,0.6666666666666666,0.7272727272727272
native-country, Canada,0.7,0.875,0.7777777777777777
native-country, Honduras,1.0,1.0,1.0
native-country, Puerto-Rico,0.75,0.6,0.6666666666666665
native-country, Hong,0.6666666666666666,1.0,0.8
native-country, China,0.5714285714285714,0.6666666666666666,0.6153846153846153
native-country, Iran,0.7777777777777778,1.0,0.8750000000000001
native-country, Greece,0.5,0.5,0.5
native-country, Japan,0.6666666666666666,0.5,0.5714285714285715
native-country, Cambodia,1.0,0.0,0.0
native-country, Dominican-Republic,1.0,0.0,0.0
native-country, Ireland,1.0,0.0,0.0
native-country, Italy,0.75,0.6,0.6666666666666665
native-country, Jamaica,0.6666666666666666,1.0,0.8
native-country, Guatemala,1.0,1.0,1.0
native-country, Vietnam,1.0,1.0,1.0
native-country, Nicaragua,0.0,1.0,0.0
native-country, Thailand,1.0,1.0,1.0
native-country, Poland,1.0,0.5,0.6666666666666666
native-country, Taiwan,1.0,1.0,1.0
native-country, Hungary,1.0,0.0,0.0
native-country, Yugoslavia,1.0,1.0,1.0
native-country, Haiti,1.0,1.0,1.0
native-country, Portugal,1.0,0.0,0.0
native-country, Trinadad&Tobago,1.0,0.0,0.0
native-country, Columbia,0.5,1.0,0.6666666666666666
native-country, Scotland,1.0,1.0,1.0
native-country, Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country, Laos,0.0,1.0,0.0
native-country, Ecuador,1.0,1.0,1.0
